"General","Gˆ¢wne"
"World","—wiat"
"Adventurer","Poszukiwacz przyg¢d"
"Dwarf mode","Tryb Krasnoluda"
"Embark","L¥dowanie"
"Stockorder","Zarz¥dzanie magazynem"
"Militia","Milicja"
"its","jego"
"it","to"
"itself","si©"
"Activity","Aktywno˜†"
"Training Session","Sesja treningowa"
"Activity Event","Wydarzenie Aktywno˜ci"
"Research","Badania"
"Play","Graj"
"Worship","Kult"
"Socialize","Udziela† si© towarzysko "
" empty "," pusty "
" empties "," opr¢¾nia "
" pick up "," podnie˜ "
" picks up "," podnosi "
" embraces "," obj©cia "
" has shared many tales from beyond "," udost©pniˆ wiele opowie˜ci zza ˜wiata "
" has shared a few rumors."," podzieliˆ si© kilkoma plotkami."
" has shared a rumor from abroad.","  podzieliˆ si© plotk¥ z zagranicy."
" gives you "," daje ci "
" has discovered "," odkryˆ "
" has become a student of "," zostaˆ uczniem "
"Ponder ","Rozmy˜laj "
"Learn ","Ucz sie "
"Teach ","Nauczaj "
"Discuss ","Dyskutuj na temat "
"Read","Czyta†"
"Write","Pisz"
"Write about ","Pisz na temat "
"Copy","Kopiuj"
"Meditate on ","Medytuj nad "
"Pray to ","M¢dl Si© do "
"Go to Combat Training","Id« Na Trening Walki"
"Organize Combat Training","Zorganizuj Trening Walki"
"Lead Combat Training","Prowad« Trening Walki"
"Wait for Combat Training","Zaczekaj na Trening Walki"
"Play Make Believe","Baw Si© w Udawanie"
"Play with ","Baw si© z "
"Toy","Zabawka"
"Inveigh Against ","Walcz przeciwko "
"Promote ","Promowa† "
"Law","Prawo"
"Loyalty","Lojalno˜†"
"Family","Rodzina"
"Friendship","Przyja«ä"
"Power","Moc"
"Truth","Prawda"
"Cunning","Przebiegˆy"
"Eloquence","Elokwencja"
"Fairness","Uczciwo˜†"
"Decorum","Stosowno˜†"
"Tradition","Tradycja"
"Artwork","Grafika"
"Cooperation","kooperacja"
"Independence","Niezale¾no˜†"
"Stoicism","Stoicyzm"
"Introspection","Introspekcja"
"Self-Control","Samokontrola"
"Tranquility","Spok¢j"
"Harmony","Harmonia"
"Merriment","Wesoˆo˜†"
"Craftsmanship","Rzemiosˆo"
"Martial Prowess","Waleczno˜†"
"Skill","Umiej©tno˜†"
"Hard Work","Ci©¾ka praca"
"Sacrifice","Po˜wi©cenie"
"Competition","Konkurencja"
"Perseverance","Wytrwaˆo˜†"
"Leisure Time","Czas wolny"
"Commerce","Handel"
"Romance","Romans"
"Nature","Natura"
"Peace","Pok¢j"
"Knowledge","Wiedza"
"Preach on ","Gˆosi† "
"Listen to Sermon","Wysˆuchaj kazania"
"Tell Story","Opowiedz Historie"
"Listen to Story","Sˆuchaj Historii"
