"its","его"
"it","он"
"itself","себя"
"Select the squads to train here.","Выберите отряды, которые будут здесь тренироваться."
"Activity","Активность"
"Training Session","Тренировка"
"Activity Event","Событие"
"Research","Исследовать"
"Play","Играть"
"Worship","Поклоняться"
"Socialize","Общение"
" empty "," опустошаете "
" empties "," опустошает "
" pick up "," подбираете "
" picks up "," подбирает "
"little natural inclination toward music","небольшая естественная склонность к музыке"
" embraces "," обнимает "
"You have ","У вас есть "
" has shared many tales from beyond "," делится множеством рассказов из-за пределов "
" has shared a few rumors."," делится несколькими слухами."
" has shared a rumor from abroad."," делится слухами из-за рубежа."
" gives you "," даёт вам "
" has discovered "," открыл "
"profaned our homes","осквернил наши дома"
" has become a student of "," становится учеником "
"Ponder ","Размышлять "
"Learn ","Изучать "
"Teach ","Учить "
"Discuss ","Обсуждать "
"Read","Читать"
"Write","Писать"
"Write about ","Писать о "
"Copy","Коп."
"Meditate on ","Медитировать на "
"Pray to ","Молиться "
"Go to Combat Training","Идти на боевую подготовку"
"Organize Combat Training","Организовывать боевую подготовку"
"Lead Combat Training","Вести боевую подготовку"
"Wait for Combat Training","Ожидание боевой подготовки"
"Play Make Believe","Играть понарошку"
"Play with ","Играть с "
"Toy","Игрушка"
"Inveigh Against ","Ополчиться против "
"Promote ","Продвигать "
"Law","Закон"
"Loyalty","Верность"
"Family","Семья"
"Friendship","Дружба"
"Power","Сила"
"Truth","Истина"
"Cunning","Хитрость"
"Eloquence","Красноречие"
"Fairness","Справедливость"
"Decorum","Приличия"
"Tradition","Традиции"
"Artwork","Искусство"
"Cooperation","Сотрудничество"
"Independence","Независимость"
"Stoicism","Стоицизм"
"Introspection","Самоанализ"
"Self-Control","Самоконтроль"
"Tranquility","Спокойствие"
"Harmony","Гармония"
"Merriment","Веселье"
"Craftsmanship","Мастерство"
"Martial Prowess","Боевая доблесть"
"Skill","Умение"
"Hard Work","Тяжёлый труд"
"Sacrifice","Жертвенность"
"Competition","Соревнование"
"Perseverance","упорстве"
"Leisure Time","Свободное время"
"Commerce","Коммерция"
"Romance","Романтика"
"Nature","Природа"
"Peace","Мир"
"Knowledge","Знания"
"Preach on ","Проповедовать "
"Listen to Sermon","Слушать проповедь"
"Tell Story","Рассказывать историю"
"Listen to Story","Слушать историю"
"Listen to Poetry","Слушать стихи"
"Play ","Играть "
"Simulate ","Имитировать "
"Sing","Петь"
"Chant","Распевать"
"Recite Poetry","Декламировать стихи"
"Perform Music","Исполнять музыку"
"Listen to Music","Слушать музыку"
"Perform Dance","Исполнять танец"
"Watch Dance","Смотреть танец"
"Go to ","Идти на "
" Demonstration"," демонстрацию"
"Lead ","Вести "
"Organize ","Организовать "
"Watch ","Смотреть "
"Wait for ","Ждать "
"Serve Customer","Обслуживать клиента"
"Serve ","Служить "
"Go to Individual Combat Drill","Идти на личную боевую подготовку"
"Individual Combat Drill","Личная боевая подготовка"
"/Resting","/Отдых"
"Go to Sparring Match","Перейти к тренировочному бою"
"Spar","Тренировочный бой"
"Go to Sparring Practice","Идти на тренировочный бой"
"Watch Sparring Practice","Смотреть тренировочный бой"
"Archery Practice","Тренировка стрельбы"
"You cannot perform here.","Нельзя исполнять здесь."
"You could not find a partner.","Вы не можете найти партнера."
"There are not enough dancers.","Недостаточно танцоров."
"There is not enough room to perform here.","Недостаточно места для представления."
"You","Вы "
"Some children","Некоторые дети"
"is","-"
"are","-"
"begins","начинает"
"begin","начинаете"
" playing make believe."," играет понарошку."
" playing with "," играют с "
"a toy","игрушкой"
"The performers","Исполнители"
"a sermon on ","проповедь о "
"the story of ","историю про "
"reciting the poem ","декламирует стихи "
"an improvised recital of ","импровизированная декламация "
"the musical composition ","музыкальную композицию "
"improvised music, ","импровизированную композицию, "
"dancing ","танцевать "
"an improvised dance, ","импровизированный танец, "
" in the middle of "," в середине "
"You continue the sermon.","Вы продолжаете проповедь."
"The sermon continues.","Проповедь продолжается."
"You continue the story.","Вы продолжаете рассказ."
"The story continues.","История продолжается."
"You begin","Вы начинаете"
"The poetry enters","Стихи переходят в"
"the "," "
" line."," строку."
"the verse paragraph","свободную строфу"
" verse paragraph"," свободную строфу"
"the stanza","строфу"
" stanza"," строфу"
"You continue the poem.","Вы продолжаете читать стихотворение."
"The poem continues.","Стихотворение продолжается."
"You enter ","Вы переходите к "
"The dance enters a new section with ","Танец переходит в следующую часть с "
"The music enters ","Музыка переходит в "
"a simple passage","простой пассаж"
"the introduction","вступление"
"the exposition","экспозиция"
" of the theme"," темы"
" of the first theme"," первой темы"
" of the second theme"," второй темы"
" of the previous passage"," предыдущего пассажа"
"a recapitulation","рекапитуляция"
"the synthesis","синтез"
" of the two themes"," двух тем"
" of previous passages"," предыдущих пассажей"
"a verse","стих"
"a chorus","припев"
"the finale","окончание"
"the coda","кода"
"a bridge-passage","переходной пассаж"
"first ","первый "
"second ","второй "
"theme","тема"
"a series of variations","серия вариаций"
" on the theme"," на тему"
" on the first theme"," на первую тему"
" on the second theme"," на вторую тему"
" and "," и "
"You continue the dance.","Вы продолжаете танец."
"The dance continues.","Танец продолжается."
"You continue the music.","Вы продолжаете играть."
"The music continues.","Музыка продолжается."
"You conclude your performance.","Вы завершаете выступление."
"The performers are finished.","Исполнители завершают выступление."
"Some performers finish their act.","Часть исполнителей закончили свои партии."
" has finished performing."," завершает выступление."
" concludes a performance."," завершает выступление."
"You've learned ","Вы изучили "
"You feel like you know the basic rules of ","Вы чувствуете, что теперь знаете основные правила "
" now.","."
"Your","Ваш"
"'s"," "
" lay"," произносите"
" forth an awe-inspiring sermon for the ages!"," проповедь, внушающую благоговение на века!"
" artfully deliver"," искусно доносите до слушателей"
" a lucid and powerful sermon."," яркую и мощную проповедь."
" giving a creditable sermon."," читаете неплохую проповедь."
" just can't give a sermon very well."," просто не можете выдать хорошую проповедь."
" dance"," танцуете"
" flawlessly, like someone out of a legend!"," безупречно, будто в сказке!"
" dancing exceptionally."," танцуете потрясающе."
" dancing well."," танцуете хорошо."
" get"," запутались"
" tangled up.","."
" and the "," и "
" are indistinguishable!"," неотличим!"
"instrument","инструмент"
" delivering a virtuoso performance on the "," виртуозно играете на "
" is absolutely flawless."," просто безупречно."
"chant","распеваете"
"song","песнь"
" could nearly pass for the voice of the "," так, что это почти не отличить от голоса "
" play"," играете"
" the "," "
" with skill."," умело."
"sing"," поёте"
" beautifully."," прекрасно."
" sound"," звучите"
" vaguely like the intended "," примерно так, как задумано "
" playing the "," играете "
" well."," хорошо."
"chanting","распеваете"
"singing","поёте"
" make"," устраивая"
" a mockery of the "," пародию на "
" with a shameworthy performance."," своим позорным исполнением."
"doesn't","не"
"don't","не"
" seem to know how to play the "," похоже знаете, как играть на "
" sloppily"," небрежно"
" and even forget"," и даже забываете "
" some of the words."," некоторые слова."
" bring"," воплощаете"
" the poem to life with this flawless recitation."," стихи в жизнь своей безупречной декламацией."
" choose"," подбираете"
" the perfect phrasing."," идеальные обороты."
" recite"," декламируете"
" the words evocatively."," слова с выражением."
" enunciate"," излагаете"
" crisply."," чётко."
" speak"," проговариваете"
" mumble"," боромочете"
", having completely forgotten the words.",", полностью забыв слова."
" poorly."," плохо."
" weave"," сплетаете"
" a mesmerizing tale!"," завораживающую историю!"
" tell"," рассказываете"
" the story in vivid detail."," историю в ярких красках."
" telling the tale quite well."," довольно неплохо рассказываете историю."
" stumble"," запинаетесь"
" over the details."," на подробностях."
"It has no writing.","Здесь ничего не написано."
"The pages are blank.","Страницы пусты."
"It has no pages.","Здесь нет страниц."
"Wetland","Болота"
"Alias: ","Псевдоним: "
"Highest known in organization","Самый главный известный руководитель организации"
"Associated Organization: ","Связанная организация: "
"Associated Plot: ","Связанный заговор: "
"We should have made it there by now.","Мы уже должны были быть там."
"We should be making better progress.","Нам нужно двигаться быстрее."
"We are going the wrong way.","Мы движемся не в ту сторону."
"We haven't performed for some time.","Какое-то время мы не давали представлений."
"We have arrived at our destination.","Мы достигли цели."
"The oppressor has been overthrown!","Угнетатель свергнут!"
"We must not abandon ","Мы не должны прекращать "
"We must go back.","Нам нужно вернуться."
"Empty announcement ","Пустое оповещение "
"The "," "
"spinning ","вращающегося "
"flying ","летящего "
"It","Он"
", but it is deflected by ",", но был отражён "
" by the "," за "
" in the "," в "
" from behind"," сзади"
" from the side"," сбоку "
" with "," с помощью "
", but the attack is deflected by ",", но атака отражена "
", lightly tapping the target!",", слегка задев цель!"
", but there is no force!",", но силы было недостаточно!"
", but it passes right through!",", но проходит мимо!"
", but the attack passes right through!",", но атака проходит мимо!"
", but it glances away!",", но отскакивает!"
", but the attack glances away!",", но атака отскакивает!"
" and the severed part sails off in an arc!"," и отрубленная часть тела улетает по дуге!"
"the part","эта часть тела"
" is smashed into the body, an unrecognizable mass!"," расплющивается в кровавое месиво!"
" splits in gore!"," превращается в фарш!"
" collapses!"," сминается!"
"the injured part","раненая часть тела"
" is ripped into loose shreds!"," разлетается в клочья!"
" is torn apart!"," рвётся на куски!"
" and it is mostly cut away from the rest of the torso!"," и почти отсекается от остального тела!"
" is cloven asunder!"," разрубается пополам!"
" explodes into gore!"," фаршем разлетается в стороны!"
" collapses into a lump of gore!"," сплющивается в комок фарша!"
" is crushed!"," раздавливается!"
